번호,이름,대상,종류,결과,게이트,확률,경로,비고
013,루피,A0JU,능력교체,대응됨,"GetUnitAbilityLevelSwapped('A0JU')==1 (능력 보유) AND UnitHasBuffBJ(시전자,'B06Y')==false",능력 보유 시 항상(확률 아님) — 상위 블록 조건에 종속,평타 트리거 Ruffy_Attack 내부 분기,특성으로 A0JU를 얻으면 기존 흐름에 더미 e04Q + frostarmor 분기가 열린다
018,브룩,A0R1,능력교체,대응됨,"GetUnitAbilityLevelSwapped('A0R1',udg_Hero_Brook[2])==1 (능력 보유)",마나 115 게이지(115타)로 도는 Brook_Skill_Mana 안에서 항상,Brook_Skill_Mana 내부 분기,게이트가 확률이 아니라 능력 보유. 상위 주기는 마나 게이지
025,시키,A0T4,능력교체,대응됨,GetUnitAbilityLevelSwapped('A0T4')==1 (능력 보유),능력 보유 시 항상,평타 트리거 Shiki_Attack 내부 분기,더미 h07R ×2. 확률 4개는 전부 다른 스킬
009,호킨스,A0WK,능력교체,평타 게이트와 무관,없음 — 엔진이 직접 처리,—,"스톡 AOae(오라) 기반, 트리거 참조 0건",Oae2=0.12 / 반경 800. 우리 SkillTriggerType의 Aura에 담긴다
010,도플라밍고,A0AL,스킬승급,평타 게이트와 무관,없음 — 엔진이 직접 처리,쿨다운 acdn 6.0 → 6.45(레벨2),"스톡 AEme(변신) 기반, 트리거 참조 0건",지속 ahdu 4.5→6.0. CooldownAutoCast에 담긴다
014,로빈,A0FL,능력교체,평타 게이트와 무관,없음 — 엔진이 직접 처리,쿨다운 acdn 1.0,"스톡 ANbl 기반, 트리거 참조 0건",Ebl1=1500 / Ebl2=10
015,우솝,A0IE,스킬승급,평타 게이트와 무관,없음 — 엔진이 직접 처리,쿨다운 acdn 170초,"스톡 ANab 기반, 트리거 참조 0건","레벨2 값 이미 확보(Nab4/5 200,000→300,000, 지속 5→7.5)"
019,샹크스,A136,능력교체,평타 게이트와 무관,없음 — 엔진이 직접 처리,—,"스톡 AIbm(아이템 마나) 기반, 트리거 참조 0건",Iman=34. 피해 스킬이 아니다
011,아오키지,H0B1,변신(유닛교체),게이트 개념 없음,특성 구매 시 1회 — 유닛 자체를 H0B1로 바꾼다,—,T_Ability_hero 분기에서 유닛 교체,발동 게이트가 아니라 영구 교체. 경험치·STR/AGI/INT 이월
016,쵸파,H093,변신(유닛교체),게이트 개념 없음,특성 구매 시 1회 — 유닛 자체를 H093로 바꾼다,—,T_Ability_hero 분기에서 유닛 교체,평타 트리거의 마나 150 metamorphosis는 이 특성과 별개 스킬이다(아래 참조)
012,타시기,—,순수스탯,게이트 개념 없음,"특성 구매 시 1회 — 경험치 +5000, STR/AGI/INT 각 +3",—,T_Ability_hero 분기,
